CPT Code,Description of Information of CPTCode
52647,"Laser coagulation of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, and internal urethrotomy are included if performed)"
52648,"Laser vaporization of prostate, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)"
52649,"Laser enucleation of the prostate with morcellation, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)"
52650,TRANSURETHRAL CRYOSURGICAL REMOV PROSTATE
52700,Transurethral drainage of prostatic abscess
53000,"Urethrotomy or urethrostomy, external (separate procedure); pendulous urethra"
53010,"Urethrotomy or urethrostomy, external (separate procedure); perineal urethra, external"
53020,"Meatotomy, cutting of meatus (separate procedure); except infant"
53025,"Meatotomy, cutting of meatus (separate procedure); infant"
53040,Drainage of deep periurethral abscess
53060,Drainage of Skene's gland abscess or cyst
53080,Drainage of perineal urinary extravasation; uncomplicated (separate procedure)
53085,Drainage of perineal urinary extravasation; complicated
53200,Biopsy of urethra
53210,"Urethrectomy, total, including cystostomy; female"
53215,"Urethrectomy, total, including cystostomy; male"
53220,Excision or fulguration of carcinoma of urethra
53230,Excision of urethral diverticulum (separate procedure); female
53235,Excision of urethral diverticulum (separate procedure); male
53240,"Marsupialization of urethral diverticulum, male or female"
53250,Excision of bulbourethral gland (Cowper's gland)
53260,"Excision or fulguration; urethral polyp(s), distal urethra"
53265,Excision or fulguration; urethral caruncle
53270,Excision or fulguration; Skene's glands
53275,Excision or fulguration; urethral prolapse
53400,"Urethroplasty; first stage, for fistula, diverticulum, or stricture (eg, Johannsen type)"
53405,"Urethroplasty; second stage (formation of urethra), including urinary diversion"
53410,"Urethroplasty, 1-stage reconstruction of male anterior urethra"
53415,"Urethroplasty, transpubic or perineal, 1-stage, for reconstruction or repair of prostatic or membranous urethra"
53420,"Urethroplasty, 2-stage reconstruction or repair of prostatic or membranous urethra; first stage"
53425,"Urethroplasty, 2-stage reconstruction or repair of prostatic or membranous urethra; second stage"
53430,"Urethroplasty, reconstruction of female urethra"
53431,"Urethroplasty with tubularization of posterior urethra and/or lower bladder for incontinence (eg, Tenago, Leadbetter procedure)"
53440,"Sling operation for correction of male urinary incontinence (eg, fascia or synthetic)"
53442,"Removal or revision of sling for male urinary incontinence (eg, fascia or synthetic)"
53443,"Urethroplasty with tubularization of posterior urethra and/or lower bladder for incontinence (eg, Tenago, Leadbetter procedure)"
53444,Insertion of tandem cuff (dual cuff)
53445,"Insertion of inflatable urethral/bladder neck sphincter, including placement of pump, reservoir, and cuff"
53446,"Removal of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff"
53447,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff at the same operative session"
53448,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff through an infected field at the same operative session including irrigation and debridement of infected tissue"
53449,"Repair of inflatable urethral/bladder neck sphincter, including pump, reservoir, and cuff"
53450,"Urethromeatoplasty, with mucosal advancement"
53460,"Urethromeatoplasty, with partial excision of distal urethral segment (Richardson type procedure)"
53500,"Urethrolysis, transvaginal, secondary, open, including cystourethroscopy (eg, postsurgical obstruction, scarring)"
53502,"Urethrorrhaphy, suture of urethral wound or injury, female"
53505,"Urethrorrhaphy, suture of urethral wound or injury; penile"
53510,"Urethrorrhaphy, suture of urethral wound or injury; perineal"
53515,"Urethrorrhaphy, suture of urethral wound or injury; prostatomembranous"
53520,"Closure of urethrostomy or urethrocutaneous fistula, male (separate procedure)"
53600,"Dilation of urethral stricture by passage of sound or urethral dilator, male; initial"
53601,"Dilation of urethral stricture by passage of sound or urethral dilator, male; subsequent"
53605,"Dilation of urethral stricture or vesical neck by passage of sound or urethral dilator, male, general or conduction (spinal) anesthesia"
53620,"Dilation of urethral stricture by passage of filiform and follower, male; initial"
53621,"Dilation of urethral stricture by passage of filiform and follower, male; subsequent"
53640,PASSAGE FILLIFORM-ACUTE VESICAL RETENTION MALE
53660,Dilation of female urethra including suppository and/or instillation; initial
53661,Dilation of female urethra including suppository and/or instillation; subsequent
53665,"Dilation of female urethra, general or conduction (spinal) anesthesia"
53670,"Catheterization, urethra; simple"
53675,"Catheterization, urethra; complicated (may include difficult removal of balloon catheter)"
53800,2/3 GLASS TEST INCL EXAM URIN SPECMN
53850,Transurethral destruction of prostate tissue; by microwave thermotherapy
53852,Transurethral destruction of prostate tissue; by radiofrequency thermotherapy
53853,Transurethral destruction of prostate tissue; by water-induced thermotherapy
53854,Transurethral destruction of prostate tissue; by radiofrequency generated water vapor thermotherapy
53855,"Insertion of a temporary prostatic urethral stent, including urethral measurement"
53860,Transurethral radiofrequency micro-remodeling of the female bladder neck and proximal urethra for stress urinary incontinence
53899,"Unlisted procedure, urinary system"
54000,"Slitting of prepuce, dorsal or lateral (separate procedure); newborn"
54001,"Slitting of prepuce, dorsal or lateral (separate procedure); except newborn"
54015,"Incision and drainage of penis, deep"
54050,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; chemical"
54055,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; electrodesiccation"
54056,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; cryosurgery"
54057,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; laser surgery"
54060,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; surgical excision"
54065,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
54100,Biopsy of penis; (separate procedure)
54105,Biopsy of penis; deep structures
54110,Excision of penile plaque (Peyronie disease);
54111,Excision of penile plaque (Peyronie disease); with graft to 5 cm in length
54112,Excision of penile plaque (Peyronie disease); with graft greater than 5 cm in length
54115,"Removal foreign body from deep penile tissue (eg, plastic implant)"
54120,Amputation of penis; partial
54125,Amputation of penis; complete
54130,"Amputation of penis, radical; with bilateral inguinofemoral lymphadenectomy"
54135,"Amputation of penis, radical; in continuity with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes"
54150,"Circumcision, using clamp or other device with regional dorsal penile or ring block"
54152,"Circumcision, using clamp or other device; except newborn"
54160,"Circumcision, surgical excision other than clamp, device, or dorsal slit; neonate (28 days of age or less)"
54161,"Circumcision, surgical excision other than clamp, device, or dorsal slit; older than 28 days of age"
54162,Lysis or excision of penile post-circumcision adhesions
54163,Repair incomplete circumcision
54164,Frenulotomy of penis
54200,Injection procedure for Peyronie disease;
54205,Injection procedure for Peyronie disease; with surgical exposure of plaque
54220,Irrigation of corpora cavernosa for priapism
54230,Injection procedure for corpora cavernosography
54231,"Dynamic cavernosometry, including intracavernosal injection of vasoactive drugs (eg, papaverine, phentolamine)"
54235,"Injection of corpora cavernosa with pharmacologic agent(s) (eg, papaverine, phentolamine)"
54240,Penile plethysmography
54250,Nocturnal penile tumescence and/or rigidity test
54300,"Plastic operation of penis for straightening of chordee (eg, hypospadias), with or without mobilization of urethra"
54304,Plastic operation on penis for correction of chordee or for first stage hypospadias repair with or without transplantation of prepuce and/or skin flaps
54308,Urethroplasty for second stage hypospadias repair (including urinary diversion); less than 3 cm
54312,Urethroplasty for second stage hypospadias repair (including urinary diversion); greater than 3 cm
54316,Urethroplasty for second stage hypospadias repair (including urinary diversion) with free skin graft obtained from site other than genitalia
